Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Compiling .pio\build\bluepill_f103c8\src\main.cpp.o
Linking .pio\build\bluepill_f103c8\firmware.elf
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   8.0% (used 1632 bytes from 20480 bytes)
Flash: [====      ]  38.3% (used 25108 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),Left_Error(deg),Right_Error(deg),Left_PWM,Right_PWM
120.20,0.00,0.00,-519.17,1672.54,-70.00,70.00
120.98,0.00,0.00,-520.84,1663.53,-70.00,70.00
122.32,0.00,0.00,-523.32,1636.04,-70.00,70.00
123.08,0.00,0.00,-524.55,1631.84,-70.00,70.00
124.34,0.00,0.00,-526.09,1609.72,-70.00,70.00
125.35,0.00,0.00,-521.52,1601.74,-70.00,70.00
126.48,0.00,0.00,-527.94,1580.36,-70.00,70.00
127.31,0.00,0.00,-528.33,1568.54,-70.00,70.00
128.58,0.00,0.00,-528.97,1561.14,-70.00,70.00
129.48,0.00,0.00,-534.86,1541.67,-70.00,70.00
130.80,0.00,0.00,-529.45,1521.45,-70.00,70.00
131.52,0.00,0.00,-529.50,1515.65,-70.00,70.00
132.39,0.00,0.00,-535.03,1496.16,-70.00,70.00
133.77,0.00,0.00,-528.93,1479.40,-70.00,70.00
134.49,0.00,0.00,-522.80,1456.22,-70.00,70.00
135.75,0.00,0.00,-521.52,1440.81,-70.00,70.00
136.51,0.00,0.00,-520.69,1428.05,-70.00,70.00
137.89,0.00,0.00,-524.42,1404.45,-70.00,70.00
138.63,0.00,0.00,-517.70,1391.62,-70.00,70.00
139.88,0.00,0.00,-526.90,1364.02,-70.00,70.00
140.92,0.00,0.00,-525.10,1351.30,-70.00,70.00
142.05,0.00,0.00,-517.43,1336.53,-70.00,70.00
142.85,0.00,0.00,-515.94,1322.12,-70.00,70.00
144.12,0.00,0.00,-513.39,1293.40,-70.00,70.00
145.05,0.00,0.00,-511.35,1276.24,-70.00,70.00
146.30,0.00,0.00,-508.49,1253.08,-70.00,70.00
147.05,0.00,0.00,-506.60,1239.10,-70.00,70.00
147.98,0.00,0.00,-503.99,1221.64,-70.00,70.00
149.34,0.00,0.00,-505.50,1195.86,-70.00,70.00
150.36,0.00,0.00,-502.29,1170.75,-70.00,70.00
151.29,0.00,0.00,-493.66,1158.49,-70.00,70.00
152.08,0.00,0.00,-485.49,1137.83,-70.00,70.00
153.46,0.00,0.00,-491.97,1122.47,-70.00,70.00
154.18,0.00,0.00,-483.75,1108.37,-70.00,70.00
155.45,0.00,0.00,-478.98,1072.35,-70.00,70.00
156.40,0.00,0.00,-480.81,1065.04,-70.00,70.00
157.71,0.00,0.00,-469.97,1028.06,-70.00,70.00
158.43,0.00,0.00,-461.54,1019.44,-70.00,70.00
159.71,0.00,0.00,-461.78,999.65,-70.00,70.00
160.48,0.00,0.00,-458.50,973.13,-70.00,70.00
161.79,0.00,0.00,-458.31,952.73,-70.00,70.00
162.59,0.00,0.00,-443.30,942.21,-70.00,70.00
163.46,0.00,0.00,-439.08,913.58,-70.00,70.00
164.78,0.00,0.00,-438.11,892.46,-70.00,70.00
165.51,0.00,0.00,-434.33,877.83,-70.00,70.00
166.77,0.00,0.00,-427.72,846.74,-70.00,70.00
167.62,0.00,0.00,-417.55,840.52,-70.00,70.00
168.93,0.00,0.00,-416.23,808.29,-70.00,70.00
169.65,0.00,0.00,-406.56,793.43,-70.00,70.00
170.58,0.00,0.00,-412.56,768.82,-70.00,70.00
171.90,0.00,0.00,-399.62,752.98,-70.00,70.00
172.63,0.00,0.00,-395.46,738.08,-70.00,70.00
173.84,0.00,0.00,-382.83,707.52,-70.00,70.00
174.72,0.00,0.00,-388.92,695.02,-70.00,70.00
176.04,0.00,0.00,-380.79,656.59,-70.00,70.00
176.76,0.00,0.00,-370.66,641.65,-70.00,70.00
178.00,0.00,0.00,-362.68,626.90,-70.00,70.00
178.92,0.00,0.00,-351.10,597.00,-70.00,70.00
179.63,0.00,0.00,-352.00,587.66,-70.00,70.00
========================= [SUCCESS] Took 10.64 seconds =========================
