Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   8.0% (used 1632 bytes from 20480 bytes)
Flash: [====      ]  38.3% (used 25108 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),Left_Error(deg),Right_Error(deg),Left_PWM,Right_PWM
118.09,0.00,0.00,-232.78,272.66,-20.00,20.00
118.82,0.00,0.00,-232.78,270.02,-20.00,20.00
120.08,0.00,0.00,-232.65,265.39,-20.00,20.00
121.05,0.00,0.00,-226.89,267.30,-20.00,20.00
122.20,0.00,0.00,-232.34,251.63,-20.00,20.00
123.02,0.00,0.00,-232.25,253.83,-20.00,20.00
123.87,0.00,0.00,-232.03,250.33,-20.00,20.00
125.18,0.00,0.00,-226.14,245.00,-20.00,20.00
125.90,0.00,0.00,-225.88,241.92,-20.00,20.00
127.15,0.00,0.00,-225.62,236.62,-20.00,20.00
128.18,0.00,0.00,-225.35,232.08,-20.00,20.00
129.21,0.00,0.00,-219.35,227.57,-20.00,20.00
130.13,0.00,0.00,-224.58,223.42,-20.00,20.00
131.37,0.00,0.00,-218.39,217.81,-20.00,20.00
132.18,0.00,0.00,-223.70,214.08,-20.00,20.00
133.00,0.00,0.00,-217.73,210.41,-20.00,20.00
134.26,0.00,0.00,-222.82,204.41,-20.00,20.00
135.15,0.00,0.00,-216.80,200.21,-20.00,20.00
136.44,0.00,0.00,-216.15,194.17,-20.00,20.00
137.16,0.00,0.00,-221.37,185.05,-20.00,20.00
138.09,0.00,0.00,-215.35,186.28,-20.00,20.00
139.44,0.00,0.00,-220.41,179.74,-20.00,20.00
140.16,0.00,0.00,-219.97,176.31,-20.00,20.00
141.35,0.00,0.00,-219.40,170.44,-20.00,20.00
142.22,0.00,0.00,-224.47,166.25,-20.00,20.00
143.55,0.00,0.00,-218.06,165.26,-20.00,20.00
144.27,0.00,0.00,-223.20,150.51,-20.00,20.00
145.51,0.00,0.00,-216.78,155.50,-20.00,20.00
146.43,0.00,0.00,-216.08,139.75,-20.00,20.00
147.15,0.00,0.00,-215.60,141.81,-20.00,20.00
148.41,0.00,0.00,-220.34,141.13,-20.00,20.00
149.36,0.00,0.00,-219.59,125.02,-20.00,20.00
150.58,0.00,0.00,-207.40,130.10,-20.00,20.00
151.31,0.00,0.00,-206.96,120.81,-20.00,20.00
152.58,0.00,0.00,-205.91,114.32,-20.00,20.00
153.54,0.00,0.00,-205.03,103.84,-20.00,20.00
154.69,0.00,0.00,-209.69,109.18,-20.00,20.00
155.52,0.00,0.00,-208.98,93.74,-20.00,20.00
156.36,0.00,0.00,-202.57,100.61,-20.00,20.00
157.67,0.00,0.00,-212.56,82.66,-20.00,20.00
158.40,0.00,0.00,-206.32,89.98,-20.00,20.00
159.63,0.00,0.00,-205.09,72.42,-20.00,20.00
160.58,0.00,0.00,-209.84,73.10,-20.00,20.00
161.30,0.00,0.00,-203.60,69.28,-20.00,20.00
162.53,0.00,0.00,-202.50,62.93,-20.00,20.00
163.44,0.00,0.00,-201.69,58.07,-20.00,20.00
164.71,0.00,0.00,-194.88,45.83,-20.00,20.00
165.43,0.00,0.00,-194.13,47.70,-20.00,20.00
166.27,0.00,0.00,-193.29,37.66,-20.00,20.00
167.60,0.00,0.00,-197.64,36.23,-20.00,20.00
168.31,0.00,0.00,-202.46,26.94,-20.00,20.00
169.55,0.00,0.00,-201.18,25.99,-20.00,20.00
170.48,0.00,0.00,-194.59,15.60,-20.00,20.00
171.66,0.00,0.00,-193.23,14.96,-20.00,20.00
172.44,0.00,0.00,-192.39,10.90,-20.00,20.00
173.31,0.00,0.00,-191.38,0.70,-20.00,20.00
174.61,0.00,0.00,-190.04,-0.57,-20.00,20.00
175.33,0.00,0.00,-183.54,-4.35,-20.00,20.00
176.17,0.00,0.00,-182.66,-3.23,-20.00,20.00
177.51,0.00,0.00,-180.99,-15.91,-20.00,20.00
178.24,0.00,0.00,-180.24,-14.04,-20.00,20.00
179.49,0.00,0.00,-184.26,-31.77,-20.00,20.00
========================= [SUCCESS] Took 20.72 seconds =========================
