Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino),,,,,,,,,
--------------------------------------------------------------------------------,,,,,,,,,
Verbose mode can be enabled via `-v, --verbose` option,,,,,,,,
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html,,,,,,,,,
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8,,,,,,,,,
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash,,,,,,,
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink),,,,,,
PACKAGES: ,,,,,,,,,
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) ,,,,,,,,,
 - framework-cmsis @ 2.50700.210515 (5.7.0) ,,,,,,,,,
 - tool-dfuutil @ 1.11.0 ,,,,,,,,,
 - tool-dfuutil-arduino @ 1.11.0 ,,,,,,,,,
 - tool-openocd @ 3.1200.0 (12.0) ,,,,,,,,,
 - tool-stm32duino @ 1.0.2 ,,,,,,,,,
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1),,,,,,,,,
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf,,,,,,,,,
LDF Modes: Finder ~ chain, Compatibility ~ soft,,,,,,,,
Found 17 compatible libraries,,,,,,,,,
Scanning dependencies...,,,,,,,,,
Dependency Graph,,,,,,,,,
|-- ArduinoEigen @ 0.3.0,,,,,,,,,
|-- SPI @ 1.0.0,,,,,,,,,
Building in release mode,,,,,,,,,
Compiling .pio\build\bluepill_f103c8\src\main.cpp.o,,,,,,,,,
Linking .pio\build\bluepill_f103c8\firmware.elf,,,,,,,,,
Checking size .pio\build\bluepill_f103c8\firmware.elf,,,,,,,,,
"Advanced Memory Usage is available via ""PlatformIO Home > Project Inspect""",,,,,,,,,
RAM:   [=         ]   8.0% (used 1632 bytes from 20480 bytes),,,,,,,,,
81.5,0,0,-881.72,-760.69,-100,-100,,,
82.76,0,0,-907.38,-774.82,-100,-100,,,
83.49,0,0,-912.88,-785.72,-100,-100,,,
84.78,0,0,-926.61,-799.21,-100,-100,,,
85.82,0,0,-947.07,-819.65,-100,-100,,,
86.97,0,0,-963.7,-835.8,-100,-100,,,
87.78,0,0,-974.95,-846.87,-100,-100,,,
89.07,0,0,-997.87,-863.94,-100,-100,,,
90.01,0,0,-1010.13,-870.05,-100,-100,,,
91.32,0,0,-1020.39,-896.57,-100,-100,,,
92.69,0,0,-1035.97,-900.42,-100,-100,,,
93.4,0,0,-1038.14,-913.32,-100,-100,,,
94.68,0,0,-1057.17,-931.68,-100,-100,,,
95.6,0,0,-1066.53,-940.43,-100,-100,,,
96.92,0,0,-1079.36,-951.77,-100,-100,,,
97.64,0,0,-1086.26,-946.12,-100,-100,,,
98.95,0,0,-1097.78,-967.1,-100,-100,,,
99.95,0,0,-1111.77,-968.2,-100,-100,,,
101.27,0,0,-1116.74,-976.75,-100,-100,,,
102.44,0,0,-1130.93,-978.77,-100,-100,,,
103.29,0,0,-1125.55,-983.47,-100,-100,,,
104.61,0,0,-1139.19,-995.78,-100,-100,,,
105.51,0,0,-1144.58,-994.42,-100,-100,,,
106.87,0,0,-1151.72,-1005.91,-100,-100,,,
108.27,0,0,-1152.22,-1006.06,-100,-100,,,
108.98,0,0,-1166.22,-1014.48,-100,-100,,,
110.29,0,0,-1159.52,-1013.58,-100,-100,,,
111.6,0,0,-1163.34,-1023.33,-100,-100,,,
112.49,0,0,-1171.23,-1031.35,-100,-100,,,
113.82,0,0,-1179.67,-1028.8,-100,-100,,,
114.61,0,0,-1175.27,-1024.34,-100,-100,,,
115.92,0,0,-1176.75,-1025.62,-100,-100,,,
116.96,0,0,-1171.65,-1025.84,-100,-100,,,
118.24,0,0,-1177.54,-1025.49,-100,-100,,,
119.58,0,0,-1171.65,-1029.88,-100,-100,,,
120.87,0,0,-1170.9,-1033.81,-100,-100,,,
121.61,0,0,-1170.15,-1032.71,-100,-100,,,
122.93,0,0,-1179.45,-1030.56,-100,-100,,,
123.97,0,0,-1171.85,-1017.27,-100,-100,,,
125.24,0,0,-1168.97,-1020.08,-100,-100,,,
126.63,0,0,-1159.91,-1022.21,-100,-100,,,
127.34,0,0,-1163.58,-1020.23,-100,-100,,,
128.65,0,0,-1165.03,-1004.7,-100,-100,,,
129.96,0,0,-1154.82,-1010.92,-100,-100,,,
130.85,0,0,-1151.37,-1007.01,-100,-100,,,
132.18,0,0,-1146.38,-995.49,-100,-100,,,
132.98,0,0,-1143.22,-997.47,-100,-100,,,
134.28,0,0,-1143.5,-980,-100,-100,,,
135.26,0,0,-1133.37,-980.46,-100,-100,,,
136.64,0,0,-1131.9,-973.08,-100,-100,,,
137.82,0,0,-1119.84,-966.51,-100,-100,,,
138.62,0,0,-1120.91,-967.46,-100,-100,,,
139.93,0,0,-1113.53,-948.54,-100,-100,,,
