Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   7.9% (used 1620 bytes from 20480 bytes)
Flash: [====      ]  37.0% (used 24248 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
475.62,0.00,0.00,141.24,-170.29,-0.01,0.10
476.91,0.00,0.00,141.22,-170.29,-0.01,0.10
477.62,0.00,0.00,141.22,-170.24,-0.01,0.10
478.57,0.00,0.00,141.17,-170.29,-0.01,0.10
479.87,0.00,0.00,141.20,-170.22,-0.01,0.10
480.49,0.00,0.00,141.24,-170.31,-0.01,0.10
481.37,0.00,0.00,141.22,-170.27,-0.01,0.10
482.69,0.00,0.00,141.22,-170.31,-0.01,0.10
483.31,0.00,0.00,141.26,-170.27,-0.01,0.10
484.37,0.00,0.00,141.28,-170.27,-0.01,0.10
485.52,0.00,0.00,141.24,-170.29,-0.01,0.10
486.17,0.00,0.00,141.22,-170.24,-0.01,0.10
487.40,0.00,0.00,141.20,-170.29,-0.01,0.10
488.46,0.00,0.00,141.24,-170.27,-0.01,0.10
489.54,0.00,0.00,141.24,-170.22,-0.01,0.10
490.33,0.00,0.00,141.26,-170.29,-0.01,0.10
491.16,0.00,0.00,141.22,-170.24,-0.01,0.10
492.45,0.00,0.00,141.20,-170.31,-0.01,0.10
493.16,0.00,0.00,141.24,-170.35,-0.01,0.10
494.08,0.00,0.00,141.20,-170.33,-0.01,0.10
495.38,0.00,0.00,141.26,-170.29,-0.01,0.10
496.01,0.00,0.00,141.28,-170.38,-0.01,0.10
497.02,0.00,0.00,141.26,-170.27,-0.01,0.10
498.27,0.00,0.00,141.24,-170.22,-0.01,0.10
498.90,0.00,0.00,141.26,-170.31,-0.01,0.10
500.11,0.00,0.00,141.17,-170.24,-0.01,0.10
501.06,0.00,0.00,141.22,-170.31,-0.01,0.10
501.71,0.00,0.00,141.26,-170.29,-0.01,0.10
502.94,0.00,0.00,141.20,-170.29,-0.01,0.10
504.00,0.00,0.00,141.20,-170.24,-0.01,0.10
505.07,0.00,0.00,141.20,-170.24,-0.01,0.10
505.86,0.00,0.00,141.20,-170.29,-0.01,0.10
506.70,0.00,0.00,141.24,-170.31,-0.01,0.10
507.99,0.00,0.00,141.26,-170.29,-0.01,0.10
508.70,0.00,0.00,141.31,-170.27,-0.01,0.10
509.63,0.00,0.00,141.22,-170.29,-0.01,0.10
510.92,0.00,0.00,141.17,-170.27,-0.01,0.10
511.55,0.00,0.00,141.31,-170.33,-0.01,0.10
512.55,0.00,0.00,141.26,-170.31,-0.01,0.10
513.81,0.00,0.00,141.26,-170.33,-0.01,0.10
514.44,0.00,0.00,141.20,-170.22,-0.01,0.10
515.65,0.00,0.00,141.17,-170.40,-0.01,0.10
516.60,0.00,0.00,141.26,-170.27,-0.01,0.10
517.25,0.00,0.00,141.24,-170.31,-0.01,0.10
518.48,0.00,0.00,141.22,-170.31,-0.01,0.10
519.54,0.00,0.00,141.22,-170.27,-0.01,0.10
520.61,0.00,0.00,141.22,-170.22,-0.01,0.10
521.41,0.00,0.00,141.22,-170.35,-0.01,0.10
522.24,0.00,0.00,141.24,-170.27,-0.01,0.10
523.53,0.00,0.00,141.15,-170.31,-0.01,0.10
524.24,0.00,0.00,141.33,-170.22,-0.01,0.10
525.18,0.00,0.00,141.17,-170.31,-0.01,0.10
526.48,0.00,0.00,141.24,-170.20,-0.01,0.10
527.11,0.00,0.00,141.22,-170.31,-0.01,0.10
527.99,0.00,0.00,141.26,-170.24,-0.01,0.10
529.30,0.00,0.00,141.24,-170.29,-0.01,0.10
529.93,0.00,0.00,141.24,-170.29,-0.01,0.10
530.99,0.00,0.00,141.17,-170.33,-0.01,0.10
532.14,0.00,0.00,141.22,-170.24,-0.01,0.10
532.79,0.00,0.00,141.22,-170.29,-0.01,0.10
534.02,0.00,0.00,141.20,-170.24,-0.01,0.10
535.08,0.00,0.00,141.22,-170.33,-0.01,0.10
536.15,0.00,0.00,141.20,-170.31,-0.01,0.10
536.94,0.00,0.00,141.22,-170.29,-0.01,0.10
537.78,0.00,0.00,141.26,-170.24,-0.01,0.10
539.07,0.00,0.00,141.20,-170.22,-0.01,0.10
539.78,0.00,0.00,141.24,-170.29,-0.01,0.10
540.70,0.00,0.00,141.24,-170.27,-0.01,0.10
542.00,0.00,0.00,141.24,-170.31,-0.01,0.10
542.62,0.00,0.00,141.26,-170.35,-0.01,0.10
543.63,0.00,0.00,141.26,-170.27,-0.01,0.10
544.89,0.00,0.00,141.24,-170.29,-0.01,0.10
545.52,0.00,0.00,141.26,-170.27,-0.01,0.10
546.73,0.00,0.00,141.22,-170.29,-0.01,0.10
547.68,0.00,0.00,141.24,-170.22,-0.01,0.10
548.33,0.00,0.00,141.17,-170.29,-0.01,0.10
549.55,0.00,0.00,141.35,-170.31,-0.01,0.10
550.62,0.00,0.00,141.20,-170.27,-0.01,0.10
551.69,0.00,0.00,141.26,-170.29,-0.01,0.10
552.49,0.00,0.00,141.22,-170.33,-0.01,0.10
553.32,0.00,0.00,141.22,-170.35,-0.01,0.10
554.61,0.00,0.00,141.20,-170.24,-0.01,0.10
555.32,0.00,0.00,141.20,-170.24,-0.01,0.10
556.24,0.00,0.00,141.26,-170.29,-0.01,0.10
557.54,0.00,0.00,141.24,-170.24,-0.01,0.10
558.17,0.00,0.00,141.22,-170.31,-0.01,0.10
559.17,0.00,0.00,141.22,-170.35,-0.01,0.10
