,179.24,64.6,92.95,-35.39,0,0,13.63,-2.92,13.63,-2.92,,,,
96.34,9.31,7.53,7.48,3.42,,,,,,,,,,
,178.52,66.45,97.23,-37.34,0,0,13.73,-2.9,13.73,-2.9,,,,
98.21,9.4,7.62,7.51,3.36,,,,,,,,,,
,177.88,68.03,100.77,-39,0,0,13.8,-2.88,13.8,-2.88,,,,
100.16,9.49,7.72,7.54,3.29,,,,,,,,,,
,177.31,69.5,104.42,-40.56,0,0,13.88,-2.86,13.88,-2.86,,,,
102.18,9.59,7.82,7.57,3.22,,,,,,,,,,
,176.63,71.13,108.34,-42.27,0,0,13.97,-2.84,13.97,-2.84,,,,
104.39,9.69,7.94,7.6,3.14,,,,,,,,,,
,175.84,73.02,112.74,-44.26,0,0,14.05,-2.82,14.05,-2.82,,,,
106.49,9.8,8.05,7.64,3.07,,,,,,,,,,
,175.22,74.79,116.84,-46.13,0,0,14.14,-2.8,14.14,-2.8,,,,
108.72,9.91,8.16,7.67,2.98,,,,,,,,,,
,174.43,76.71,121.4,-48.15,0,0,14.22,-2.78,14.22,-2.78,,,,
110.48,10,8.26,7.7,2.92,,,,,,,,,,
,173.88,78.31,124.96,-49.83,0,0,14.29,-2.76,14.29,-2.76,,,,
112.59,10.11,8.37,7.74,2.84,,,,,,,,,,
,173.11,80.29,129.42,-51.91,0,0,14.37,-2.74,14.37,-2.74,,,,
114.64,10.21,8.49,7.78,2.75,,,,,,,,,,
,172.5,82.33,133.64,-54.05,0,0,14.45,-2.72,14.45,-2.72,,,,
116.81,10.33,8.61,7.83,2.67,,,,,,,,,,
,171.79,84.44,138.25,-56.27,0,0,14.53,-2.7,14.53,-2.7,,,,
118.82,10.44,8.72,7.87,2.59,,,,,,,,,,
,171.16,86.35,142.53,-58.28,0,0,14.6,-2.68,14.6,-2.68,,,,
121.04,10.56,8.85,7.91,2.5,,,,,,,,,,
,170.36,88.66,147.42,-60.7,0,0,14.68,-2.66,14.68,-2.66,,,,
123.2,10.68,8.98,7.96,2.4,,,,,,,,,,
,169.6,90.92,152.23,-63.07,0,0,14.76,-2.64,14.76,-2.64,,,,
125.63,10.82,9.12,8.01,2.3,,,,,,,,,,
,168.78,93.52,157.65,-65.79,0,0,14.84,-2.61,14.84,-2.61,,,,
127.95,10.95,9.26,8.06,2.2,,,,,,,,,,
,167.95,96,162.96,-68.39,0,0,14.92,-2.59,14.92,-2.59,,,,
129.7,11.05,9.37,8.1,2.12,,,,,,,,,,
,167.27,97.87,167.05,-70.35,0,0,14.98,-2.57,14.98,-2.57,,,,
131.88,11.18,9.51,8.15,2.02,,,,,,,,,,
,166.45,100.35,172.16,-72.95,0,0,15.05,-2.55,15.05,-2.55,,,,
134.01,11.31,9.64,8.2,1.92,,,,,,,,,,
,165.64,102.81,177.23,-75.53,0,0,15.12,-2.53,15.12,-2.53,,,,
136,11.43,9.77,8.25,1.83,,,,,,,,,,
,164.89,105.07,182.01,-77.9,0,0,15.18,-2.51,15.18,-2.51,,,,
138.26,11.56,9.91,8.3,1.72,,,,,,,,,,
,164.06,107.71,187.45,-80.66,0,0,15.25,-2.49,15.25,-2.49,,,,
140.41,11.7,10.05,8.35,1.62,,,,,,,,,,
,163.18,110.3,192.79,-83.37,0,0,15.32,-2.47,15.32,-2.47,,,,
142.59,11.83,10.19,8.41,1.51,,,,,,,,,,
,162.41,112.9,198.13,-86.09,0,0,15.38,-2.44,15.38,-2.44,,,,
145,11.98,10.35,8.47,1.39,,,,,,,,,,
,161.42,115.91,204.23,-89.23,0,0,15.46,-2.42,15.46,-2.42,,,,
147.22,12.12,10.5,8.53,1.28,,,,,,,,,,
,160.54,118.76,209.87,-92.22,0,0,15.52,-2.4,15.52,-2.4,,,,
149.81,12.29,10.68,8.6,1.15,,,,,,,,,,
,159.49,121.99,216.54,-95.6,0,0,15.59,-2.37,15.59,-2.37,,,,
152.13,12.44,10.84,8.66,1.02,,,,,,,,,,
,158.5,125.07,222.64,-98.81,0,0,15.66,-2.35,15.66,-2.35,,,,
153.87,12.56,10.96,8.71,0.94,,,,,,,,,,
,157.95,127.24,227.05,-101.09,0,0,15.71,-2.33,15.71,-2.33,,,,
156.26,12.72,11.13,8.78,0.81,,,,,,,,,,
,156.87,130.45,233.47,-104.44,0,0,15.77,-2.31,15.77,-2.31,,,,
158.12,12.84,11.26,8.83,0.7,,,,,,,,,,
,156.1,133.09,238.46,-107.19,0,0,15.82,-2.29,15.82,-2.29,,,,
160.52,13.01,11.43,8.89,0.57,,,,,,,,,,
,154.96,136.25,245.08,-110.5,0,0,15.88,-2.26,15.88,-2.26,,,,
162.35,13.13,11.56,8.95,0.47,,,,,,,,,,
,154.21,138.76,250.04,-113.12,0,0,15.92,-2.25,15.92,-2.25,,,,
165.12,13.32,11.77,9.03,0.32,,,,,,,,,,
,152.98,142.65,257.72,-117.18,0,0,15.99,-2.22,15.99,-2.22,,,,
166.94,13.45,11.9,9.08,0.21,,,,,,,,,,
,152.08,145.09,262.91,-119.73,0,0,16.04,-2.2,16.04,-2.2,,,,
169.2,13.61,12.07,9.14,0.08,,,,,,,,,,
,151.01,148.32,269.35,-123.11,0,0,16.09,-2.18,16.09,-2.18,,,,
171.32,13.76,12.23,9.2,-0.04,,,,,,,,,,
,150.04,151.24,275.37,-126.16,0,0,16.14,-2.15,16.14,-2.15,,,,
173.95,13.95,12.43,9.28,-0.19,,,,,,,,,,
,148.66,155.04,283.11,-130.13,0,0,16.19,-2.13,16.19,-2.13,,,,
175.85,14.09,12.57,9.33,-0.31,,,,,,,,,,
,147.73,157.76,288.67,-132.98,0,0,16.24,-2.11,16.24,-2.11,,,,
178.22,14.26,12.75,9.4,-0.45,,,,,,,,,,
,146.57,161.26,295.66,-136.63,0,0,16.28,-2.08,16.28,-2.08,,,,
180.17,14.4,12.91,9.47,-0.57,,,,,,,,,,
,145.67,164.25,301.37,-139.74,0,0,16.32,-2.06,16.32,-2.06,,,,
182.54,14.58,13.09,9.54,-0.72,,,,,,,,,,
,144.39,167.83,308.57,-143.48,0,0,16.37,-2.04,16.37,-2.04,,,,
184.48,14.72,13.24,9.6,-0.83,,,,,,,,,,
,143.51,170.71,314.33,-146.49,0,0,16.41,-2.02,16.41,-2.02,,,,
186.86,14.9,13.43,9.67,-0.98,,,,,,,,,,
,142.31,174.35,321.55,-150.29,0,0,16.45,-2,16.45,-2,,,,
188.8,15.05,13.59,9.74,-1.1,,,,,,,,,,
,141.36,177.41,327.46,-153.48,0,0,16.49,-1.98,16.49,-1.98,,,,
191.25,15.24,13.79,9.82,-1.26,,,,,,,,,,
,140.04,181.36,335.05,-157.6,0,0,16.53,-1.95,16.53,-1.95,,,,
193.19,15.39,13.94,9.88,-1.39,,,,,,,,,,
,138.97,184.37,341.17,-160.74,0,0,16.57,-1.93,16.57,-1.93,,,,
195.56,15.57,14.14,9.95,-1.54,,,,,,,,,,
,137.74,188.17,348.57,-164.71,0,0,16.6,-1.91,16.6,-1.91,,,,
197.51,15.72,14.3,10.02,-1.67,,,,,,,,,,
,136.7,191.32,354.74,-167.98,0,0,16.64,-1.89,16.64,-1.89,,,,
199.89,15.91,14.49,10.1,-1.82,,,,,,,,,,
,135.41,195.14,362.32,-171.97,0,0,16.67,-1.86,16.67,-1.86,,,,
201.82,16.06,14.66,10.16,-1.95,,,,,,,,,,
,134.31,198.22,368.55,-175.18,0,0,16.7,-1.84,16.7,-1.84,,,,
204.2,16.25,14.85,10.23,-2.12,,,,,,,,,,
,132.9,202.19,376.32,-179.32,0,0,16.73,-1.82,16.73,-1.82,,,,
206.09,16.4,15.01,10.3,-2.25,,,,,,,,,,
,131.85,205.36,382.46,-182.62,0,0,16.76,-1.8,16.76,-1.8,,,,
208.38,16.59,15.21,10.38,-2.4,,,,,,,,,,
,130.57,209.2,389.93,-186.63,0,0,16.79,-1.77,16.79,-1.77,,,,
210.42,16.75,15.38,10.45,-2.55,,,,,,,,,,
,129.36,212.76,396.72,-190.33,0,0,16.82,-1.75,16.82,-1.75,,,,
212.69,16.94,15.58,10.53,-2.7,,,,,,,,,,
,128.18,216.63,404.11,-194.36,0,0,16.84,-1.73,16.84,-1.73,,,,
214.7,17.1,15.75,10.6,-2.84,,,,,,,,,,
,127.03,220.03,410.8,-197.91,0,0,16.87,-1.71,16.87,-1.71,,,,
217.34,17.32,15.98,10.7,-3.03,,,,,,,,,,
,125.58,224.63,419.58,-202.69,0,0,16.89,-1.68,16.89,-1.68,,,,
220.19,17.56,16.23,10.8,-3.23,,,,,,,,,,
,123.85,229.7,429.3,-207.98,0,0,16.92,-1.65,16.92,-1.65,,,,
222.55,17.76,16.44,10.89,-3.41,,,,,,,,,,
,122.51,234.01,437.28,-212.46,0,0,16.95,-1.63,16.95,-1.63,,,,
225.32,17.99,16.68,10.99,-3.6,,,,,,,,,,
,120.95,238.97,446.67,-217.62,0,0,16.97,-1.6,16.97,-1.6,,,,
227.63,18.18,16.89,11.08,-3.77,,,,,,,,,,
,119.7,243.11,454.49,-221.92,0,0,16.99,-1.57,16.99,-1.57,,,,
230.31,18.41,17.13,11.18,-3.96,,,,,,,,,,
,118.2,247.98,463.65,-227,0,0,17.01,-1.55,17.01,-1.55,,,,
232.6,18.61,17.34,11.27,-4.14,,,,,,,,,,
,116.82,252.27,471.62,-231.45,0,0,17.03,-1.52,17.03,-1.52,,,,
235.21,18.83,17.57,11.38,-4.34,,,,,,,,,,
,115.24,257.32,480.76,-236.7,0,0,17.04,-1.49,17.04,-1.49,,,,
237.46,19.03,17.78,11.47,-4.51,,,,,,,,,,
,113.94,261.52,488.6,-241.07,0,0,17.05,-1.47,17.05,-1.47,,,,
239.98,19.25,18.01,11.57,-4.7,,,,,,,,,,
,112.47,266.26,497.45,-246,0,0,17.07,-1.44,17.07,-1.44,,,,
242.2,19.44,18.21,11.65,-4.86,,,,,,,,,,
,111.21,270.37,505.22,-250.28,0,0,17.08,-1.42,17.08,-1.42,,,,
244.63,19.66,18.44,11.75,-5.05,,,,,,,,,,
,109.7,275.12,513.91,-255.21,0,0,17.09,-1.39,17.09,-1.39,,,,
246.81,19.85,18.64,11.85,-5.22,,,,,,,,,,
,108.42,279.45,521.64,-259.7,0,0,17.09,-1.37,17.09,-1.37,,,,
249.12,20.05,18.86,11.94,-5.41,,,,,,,,,,
,107.02,284.02,529.9,-264.45,0,0,17.1,-1.35,17.1,-1.35,,,,
251.27,20.24,19.06,12.03,-5.57,,,,,,,,,,
,105.79,288.22,537.57,-268.81,0,0,17.1,-1.32,17.1,-1.32,,,,
253.51,20.44,19.27,12.13,-5.75,,,,,,,,,,
,104.6,292.7,545.48,-273.46,0,0,17.11,-1.3,17.11,-1.3,,,,
255.64,20.63,19.47,12.22,-5.91,,,,,,,,,,
,103.3,296.89,553.18,-277.82,0,0,17.11,-1.28,17.11,-1.28,,,,
257.82,20.83,19.68,12.32,-6.09,,,,,,,,,,
,102.05,301.31,561.04,-282.4,0,0,17.11,-1.25,17.11,-1.25,,,,
259.91,21.02,19.87,12.41,-6.26,,,,,,,,,,
,100.69,305.51,568.72,-286.76,0,0,17.11,-1.23,17.11,-1.23,,,,
262.17,21.22,20.09,12.51,-6.43,,,,,,,,,,
,99.48,310.08,576.8,-291.5,0,0,17.11,-1.21,17.11,-1.21,,,,
264.19,21.41,20.28,12.6,-6.59,,,,,,,,,,
,98.32,314.17,584.14,-295.75,0,0,17.1,-1.19,17.1,-1.19,,,,
266.55,21.62,20.51,12.7,-6.78,,,,,,,,,,
,96.89,318.91,592.79,-300.67,0,0,17.1,-1.16,17.1,-1.16,,,,
268.56,21.81,20.7,12.79,-6.95,,,,,,,,,,
,95.64,323.17,600.25,-305.09,0,0,17.1,-1.14,17.1,-1.14,,,,
270.92,22.02,20.93,12.9,-7.14,,,,,,,,,,
,94.25,328.1,608.89,-310.2,0,0,17.09,-1.11,17.09,-1.11,,,,
272.93,22.21,21.12,12.99,-7.31,,,,,,,,,,
,92.98,332.27,616.39,-314.53,0,0,17.08,-1.09,17.08,-1.09,,,,
275.29,22.43,21.35,13.09,-7.5,,,,,,,,,,
,91.57,337.13,625.1,-319.57,0,0,17.07,-1.07,17.07,-1.07,,,,
277.3,22.61,21.55,13.18,-7.66,,,,,,,,,,
,90.32,341.26,632.6,-323.85,0,0,17.06,-1.04,17.06,-1.04,,,,
279.66,22.83,21.78,13.29,-7.86,,,,,,,,,,
,88.87,346.29,641.4,-329.07,0,0,17.05,-1.02,17.05,-1.02,,,,
281.67,23.02,21.98,13.38,-8.03,,,,,,,,,,
,87.59,350.6,648.97,-333.53,0,0,17.04,-1,17.04,-1,,,,
284.02,23.24,22.21,13.49,-8.23,,,,,,,,,,
,86.08,355.56,657.86,-338.68,0,0,17.02,-0.97,17.02,-0.97,,,,
286.03,23.43,22.4,13.59,-8.4,,,,,,,,,,
,84.89,359.89,665.38,-343.17,0,0,17.01,-0.95,17.01,-0.95,,,,
288.38,23.65,22.64,13.69,-8.6,,,,,,,,,,
,83.42,364.9,674.25,-348.36,0,0,16.99,-0.92,16.99,-0.92,,,,
290.4,23.84,22.84,13.79,-8.77,,,,,,,,,,
,82.1,369.32,681.94,-352.93,0,0,16.97,-0.9,16.97,-0.9,,,,
292.76,24.06,23.07,13.9,-8.97,,,,,,,,,,
,80.63,374.39,690.86,-358.19,0,0,16.95,-0.88,16.95,-0.88,,,,
294.77,24.25,23.27,13.99,-9.14,,,,,,,,,,
,79.35,378.7,698.52,-362.66,0,0,16.94,-0.85,16.94,-0.85,,,,
297.11,24.47,23.5,14.1,-9.34,,,,,,,,,,
,77.97,383.8,707.33,-367.94,0,0,16.91,-0.83,16.91,-0.83,,,,
299.12,24.66,23.7,14.2,-9.51,,,,,,,,,,
,76.76,388.17,714.96,-372.47,0,0,16.89,-0.81,16.89,-0.81,,,,
301.48,24.89,23.94,14.31,-9.72,,,,,,,,,,
,75.22,393.38,724.01,-377.86,0,0,16.87,-0.78,16.87,-0.78,,,,
303.51,25.08,24.14,14.41,-9.9,,,,,,,,,,
,73.9,397.92,731.82,-382.57,0,0,16.84,-0.76,16.84,-0.76,,,,
305.76,25.29,24.37,14.52,-10.09,,,,,,,,,,
,72.63,402.85,740.3,-387.66,0,0,16.82,-0.73,16.82,-0.73,,,,
307.78,25.49,24.57,14.63,-10.27,,,,,,,,,,
,71.4,407.53,748.02,-392.5,0,0,16.79,-0.71,16.79,-0.71,,,,
310.18,25.72,24.81,14.74,-10.48,,,,,,,,,,
,69.82,412.78,757.29,-397.94,0,0,16.76,-0.69,16.76,-0.69,,,,
312.14,25.9,25.01,14.84,-10.65,,,,,,,,,,
,68.61,417.24,764.83,-402.55,0,0,16.73,-0.66,16.73,-0.66,,,,
314.65,26.14,25.26,14.96,-10.86,,,,,,,,,,
,67.09,422.78,774.41,-408.29,0,0,16.7,-0.64,16.7,-0.64,,,,
316.59,26.33,25.46,15.06,-11.03,,,,,,,,,,
,65.91,427.08,781.86,-412.74,0,0,16.67,-0.62,16.67,-0.62,,,,
319.02,26.57,25.7,15.18,-11.25,,,,,,,,,,
,64.37,432.58,791.24,-418.43,0,0,16.63,-0.59,16.63,-0.59,,,,
320.9,26.75,25.89,15.27,-11.42,,,,,,,,,,
,63.05,436.86,798.65,-422.86,0,0,16.6,-0.57,16.6,-0.57,,,,
323.19,26.97,26.12,15.39,-11.62,,,,,,,,,,
,61.73,442.05,807.38,-428.22,0,0,16.56,-0.54,16.56,-0.54,,,,
325.26,27.17,26.33,15.49,-11.8,,,,,,,,,,
