--- Terminal on COM9 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Fully Homed
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward
1010.13,43.12,10.08,673.44,509.52,673.44,509.52,37.36,-8.09
1011.60,43.17,10.11,674.63,509.76,674.63,509.76,37.64,-8.14
1013.06,43.22,10.15,676.05,510.04,676.05,510.04,37.91,-8.18
1014.52,43.27,10.19,677.57,510.26,677.57,510.26,38.17,-8.24
1016.00,43.33,10.23,679.40,510.60,679.40,510.60,38.43,-8.29
1017.46,43.40,10.28,681.27,510.87,681.27,510.87,38.67,-8.35
1018.93,43.48,10.34,683.33,511.19,683.33,511.19,38.92,-8.41
1020.40,43.56,10.40,685.54,511.59,685.54,511.59,39.15,-8.48
1021.86,43.64,10.46,688.04,511.91,688.04,511.91,39.38,-8.55
1023.33,43.73,10.53,690.64,512.37,690.64,512.37,39.59,-8.62
1024.80,43.83,10.60,693.43,512.76,693.43,512.76,39.81,-8.69
1026.27,43.93,10.67,696.38,513.17,696.38,513.17,40.01,-8.77
1027.74,44.04,10.75,699.43,513.63,699.43,513.63,40.21,-8.85
1029.21,44.16,10.84,702.71,514.13,702.71,514.13,40.40,-8.94
1030.68,44.27,10.93,706.11,514.53,706.11,514.53,40.58,-9.03
1032.15,44.40,11.02,709.70,515.03,709.70,515.03,40.76,-9.12
1033.60,44.52,11.12,713.39,515.49,713.39,515.49,40.92,-9.21
1035.07,44.66,11.22,717.18,516.04,717.18,516.04,41.09,-9.31
1036.54,44.79,11.33,721.18,516.49,721.18,516.49,41.24,-9.41
1038.01,44.94,11.44,725.32,516.99,725.32,516.99,41.39,-9.51
1039.48,45.08,11.56,729.64,517.45,729.64,517.45,41.52,-9.62
1040.95,45.23,11.68,734.14,517.99,734.14,517.99,41.66,-9.73
1042.42,45.39,11.80,738.63,518.41,738.63,518.41,41.78,-9.84
1043.89,45.55,11.93,743.35,518.97,743.35,518.97,41.90,-9.96
1045.36,45.71,12.06,748.08,519.46,748.08,519.46,42.01,-10.08
1046.82,45.87,12.20,753.07,519.99,753.07,519.99,42.11,-10.20
1048.29,46.04,12.34,758.11,520.39,758.11,520.39,42.21,-10.32
1049.77,46.22,12.49,763.48,520.91,763.48,520.91,42.29,-10.46
1051.24,46.40,12.64,768.76,521.40,768.76,521.40,42.37,-10.59
1052.71,46.58,12.79,774.22,521.83,774.22,521.83,42.45,-10.72
1054.19,46.76,12.95,779.86,522.25,779.86,522.25,42.51,-10.86
1055.66,46.95,13.11,785.57,522.77,785.57,522.77,42.57,-11.01
1057.14,47.14,13.27,791.41,523.16,791.41,523.16,42.62,-11.15
1058.60,47.33,13.44,797.33,523.51,797.33,523.51,42.67,-11.30
1060.08,47.53,13.61,803.42,523.87,803.42,523.87,42.71,-11.45
1061.55,47.73,13.79,809.54,524.30,809.54,524.30,42.73,-11.61
1063.02,47.93,13.97,815.83,524.59,815.83,524.59,42.76,-11.77
1064.49,48.14,14.16,822.13,524.93,822.13,524.93,42.77,-11.93
1065.97,48.34,14.35,828.63,525.18,828.63,525.18,42.78,-12.09
1067.44,48.55,14.54,835.23,525.44,835.23,525.44,42.78,-12.26
1068.91,48.76,14.74,841.89,525.73,841.89,525.73,42.77,-12.43
1070.38,48.98,14.94,848.68,525.94,848.68,525.94,42.76,-12.61
1071.86,49.19,15.14,855.56,526.14,855.56,526.14,42.74,-12.78
1073.34,49.41,15.35,862.56,526.27,862.56,526.27,42.71,-12.97
1074.82,49.63,15.56,869.59,526.39,869.59,526.39,42.67,-13.15
1076.29,49.85,15.78,876.88,526.45,876.88,526.45,42.63,-13.34
1077.77,50.07,16.00,884.04,526.43,884.04,526.43,42.57,-13.53
1079.23,50.29,16.22,891.20,526.47,891.20,526.47,42.52,-13.72
1080.71,50.52,16.45,898.69,526.48,898.69,526.48,42.45,-13.92
1082.18,50.74,16.67,906.06,526.46,906.06,526.46,42.38,-14.12
1083.65,50.97,16.91,913.62,526.31,913.62,526.31,42.30,-14.32
1085.12,51.20,17.14,921.32,526.13,921.32,526.13,42.21,-14.53
1086.60,51.43,17.39,928.92,525.96,928.92,525.96,42.11,-14.74
1088.07,51.66,17.63,936.59,525.76,936.59,525.76,42.01,-14.95
1089.54,51.88,17.88,944.51,525.43,944.51,525.43,41.90,-15.17
1091.01,52.11,18.13,952.21,525.12,952.21,525.12,41.78,-15.39
1092.48,52.34,18.38,960.21,524.77,960.21,524.77,41.66,-15.61
1093.95,52.58,18.64,968.17,524.31,968.17,524.31,41.53,-15.84
1095.43,52.81,18.90,976.23,523.80,976.23,523.80,41.39,-16.06
1096.90,53.04,19.16,984.39,523.27,984.39,523.27,41.24,-16.30
1098.36,53.27,19.43,992.56,522.63,992.56,522.63,41.09,-16.53
1099.84,53.50,19.70,1000.73,522.04,1000.73,522.04,40.93,-16.77
1101.30,53.73,19.97,1008.95,521.30,1008.95,521.30,40.76,-17.01
1102.77,53.96,20.25,1017.18,520.48,1017.18,520.48,40.58,-17.25
1104.24,54.19,20.53,1025.50,519.62,1025.50,519.62,40.40,-17.50
1105.71,54.41,20.81,1033.98,518.79,1033.98,518.79,40.21,-17.75
1107.19,54.64,21.10,1042.37,517.80,1042.37,517.80,40.01,-18.01
1108.64,54.87,21.39,1050.71,516.80,1050.71,516.80,39.81,-18.26
1110.12,55.09,21.68,1059.24,515.65,1059.24,515.65,39.59,-18.53
1111.59,55.32,21.98,1067.78,514.51,1067.78,514.51,39.37,-18.79
1113.07,55.54,22.28,1076.36,513.28,1076.36,513.28,39.15,-19.06
1114.54,55.76,22.58,1084.89,511.98,1084.89,511.98,38.91,-19.33
1116.02,55.99,22.89,1093.62,510.59,1093.62,510.59,38.67,-19.60
1117.49,56.21,23.20,1102.25,509.15,1102.25,509.15,38.42,-19.88
1118.96,56.42,23.51,1110.94,507.53,1110.94,507.53,38.16,-20.16
1120.44,56.64,23.82,1119.60,505.93,1119.60,505.93,37.90,-20.45
1121.91,56.85,24.14,1128.24,504.24,1128.24,504.24,37.63,-20.73
1123.38,57.07,24.46,1137.02,502.49,1137.02,502.49,37.35,-21.02
1124.85,57.28,24.78,1145.73,500.60,1145.73,500.60,37.06,-21.31
1126.32,57.48,25.11,1154.43,498.69,1154.43,498.69,36.77,-21.61
1127.80,57.69,25.44,1163.28,496.64,1163.28,496.64,36.47,-21.91
1129.27,57.89,25.77,1171.94,494.55,1171.94,494.55,36.16,-22.21
1130.75,58.09,26.11,1180.83,492.37,1180.83,492.37,35.85,-22.52
1132.22,58.29,26.44,1189.65,490.10,1189.65,490.10,35.52,-22.83
1133.70,58.49,26.78,1198.38,487.79,1198.38,487.79,35.19,-23.14
1135.17,58.68,27.13,1207.18,485.20,1207.18,485.20,34.85,-23.46
1136.65,58.87,27.47,1215.90,482.66,1215.90,482.66,34.51,-23.78
1138.12,59.06,27.82,1224.65,480.02,1224.65,480.02,34.16,-24.10
1139.58,59.24,28.17,1233.38,477.22,1233.38,477.22,33.80,-24.43
1141.06,59.42,28.53,1242.05,474.34,1242.05,474.34,33.43,-24.75
1142.53,59.59,28.88,1250.71,471.44,1250.71,471.44,33.06,-25.09
1144.00,59.76,29.24,1259.44,468.43,1259.44,468.43,32.68,-25.42
1145.47,59.93,29.60,1268.16,465.19,1268.16,465.19,32.29,-25.76
1146.95,60.10,29.97,1276.79,461.91,1276.79,461.91,31.89,-26.10
1148.42,60.26,30.33,1285.44,458.67,1285.44,458.67,31.49,-26.45
1149.89,60.42,30.70,1294.02,455.16,1294.02,455.16,31.08,-26.79
1151.36,60.57,31.07,1302.56,451.63,1302.56,451.63,30.66,-27.14
1152.84,60.72,31.45,1311.18,447.86,1311.18,447.86,30.23,-27.50
1154.31,60.86,31.82,1319.75,444.10,1319.75,444.10,29.80,-27.86
1155.78,61.00,32.20,1328.17,440.15,1328.17,440.15,29.36,-28.22
1157.25,61.14,32.58,1336.59,436.16,1336.59,436.16,28.92,-28.58
1158.72,61.27,32.96,1344.94,432.08,1344.94,432.08,28.46,-28.95
1160.20,61.39,33.35,1353.36,427.84,1353.36,427.84,28.00,-29.32
1161.67,61.51,33.74,1361.75,423.36,1361.75,423.36,27.53,-29.69
1163.14,61.63,34.13,1370.03,418.92,1370.03,418.92,27.05,-30.07
1164.61,61.74,34.52,1378.22,414.30,1378.22,414.30,26.57,-30.45
1166.08,61.85,34.91,1386.41,409.59,1386.41,409.59,26.08,-30.83
1167.55,61.94,35.31,1394.55,404.69,1394.55,404.69,25.58,-31.22
1169.03,62.04,35.71,1402.61,399.73,1402.61,399.73,25.07,-31.61
1170.50,62.13,36.11,1410.59,394.59,1410.59,394.59,24.56,-32.00
1171.97,62.21,36.51,1418.63,389.34,1418.63,389.34,24.04,-32.39
1173.44,62.29,36.92,1426.48,384.01,1426.48,384.01,23.51,-32.79
1174.91,62.36,37.33,1434.30,378.53,1434.30,378.53,22.98,-33.20
1176.38,62.43,37.74,1442.07,372.85,1442.07,372.85,22.44,-33.60
1177.85,62.48,38.15,1449.71,367.12,1449.71,367.12,21.89,-34.01
1179.32,62.54,38.56,1457.39,361.17,1457.39,361.17,21.33,-34.42
1180.80,62.58,38.98,1464.96,355.16,1464.96,355.16,20.76,-34.84
1182.28,62.62,39.40,1472.48,348.97,1472.48,348.97,20.19,-35.26
1183.75,62.66,39.81,1479.88,342.62,1479.88,342.62,19.61,-35.68
1185.23,62.68,40.24,1487.29,336.17,1487.29,336.17,19.02,-36.10
1186.70,62.70,40.66,1494.45,329.60,1494.45,329.60,18.43,-36.53
1188.17,62.72,41.09,1501.71,322.82,1501.71,322.82,17.83,-36.96
1189.64,62.72,41.51,1508.69,315.94,1508.69,315.94,17.22,-37.40
1191.12,62.72,41.94,1515.86,308.82,1515.86,308.82,16.60,-37.84
1192.59,62.71,42.37,1522.74,301.66,1522.74,301.66,15.98,-38.28
1194.07,62.70,42.81,1529.49,294.31,1529.49,294.31,15.34,-38.72
1195.54,62.67,43.24,1536.23,286.80,1536.23,286.80,14.71,-39.17
1197.02,62.64,43.68,1542.93,279.16,1542.93,279.16,14.06,-39.62
1198.49,62.60,44.12,1549.43,271.31,1549.43,271.31,13.40,-40.08
1199.97,62.56,44.56,1555.90,263.35,1555.90,263.35,12.74,-40.53
1201.44,62.50,45.00,1562.19,255.12,1562.19,255.12,-96.50,81.08
1202.87,62.44,45.42,1568.10,247.31,1568.10,247.31,-96.52,80.57
1204.35,62.37,45.83,1573.63,239.60,1573.63,239.60,-96.51,80.02
1205.83,62.30,46.21,1578.90,232.18,1578.90,232.18,-96.49,79.47
1207.30,62.23,46.57,1583.50,225.03,1583.50,225.03,-96.44,78.92
1208.77,62.15,46.90,1587.57,218.35,1587.57,218.35,-96.37,78.36
1210.25,62.07,47.22,1591.44,211.76,1591.44,211.76,-96.29,77.78
1211.73,61.98,47.51,1594.82,205.64,1594.82,205.64,-96.18,77.19
1213.21,61.89,47.78,1597.61,199.67,1597.61,199.67,-96.05,76.60
1214.68,61.79,48.02,1600.19,194.11,1600.19,194.11,-95.90,76.00
1216.16,61.69,48.25,1602.21,188.76,1602.21,188.76,-95.73,75.39
1217.64,61.59,48.45,1603.76,183.75,1603.76,183.75,-95.54,74.77
1219.12,61.48,48.64,1605.06,178.97,1605.06,178.97,-95.32,74.14
1220.59,61.37,48.80,1605.89,174.58,1605.89,174.58,-95.09,73.51
1222.07,61.26,48.94,1606.36,170.39,1606.36,170.39,-94.84,72.87
1223.55,61.14,49.06,1606.40,166.41,1606.40,166.41,-94.56,72.21
1225.02,61.02,49.16,1605.95,162.79,1605.95,162.79,-94.27,71.55
1226.50,60.89,49.24,1605.28,159.43,1605.28,159.43,-93.95,70.88
1227.98,60.76,49.30,1604.22,156.31,1604.22,156.31,-93.61,70.20
1229.46,60.63,49.35,1602.77,153.42,1602.77,153.42,-93.25,69.51
1230.94,60.49,49.37,1601.02,150.84,1601.02,150.84,-92.87,68.81
1232.41,60.36,49.38,1598.80,148.43,1598.80,148.43,-92.47,68.11
1233.89,60.22,49.37,1596.30,146.30,1596.30,146.30,-92.05,67.40
1235.35,60.07,49.34,1593.43,144.41,1593.43,144.41,-91.62,66.68
1236.84,59.92,49.29,1590.29,142.75,1590.29,142.75,-91.15,65.95
1238.32,59.77,49.23,1586.83,141.37,1586.83,141.37,-90.67,65.21
1239.79,59.62,49.15,1582.97,140.18,1582.97,140.18,-90.16,64.46
1241.27,59.47,49.05,1578.91,139.21,1578.91,139.21,-89.63,63.70
1242.75,59.31,48.94,1574.46,138.44,1574.46,138.44,-89.09,62.94
1244.23,59.15,48.81,1569.70,137.89,1569.70,137.89,-88.52,62.16
1245.71,58.98,48.67,1564.63,137.61,1564.63,137.61,-87.93,61.38
1247.18,58.82,48.51,1559.40,137.46,1559.40,137.46,-87.32,60.59
1248.66,58.65,48.33,1553.84,137.55,1553.84,137.55,-86.70,59.79
1250.14,58.48,48.15,1547.91,137.87,1547.91,137.87,-86.04,58.98
1251.62,58.31,47.94,1541.77,138.37,1541.77,138.37,-85.37,58.16
1253.10,58.13,47.73,1535.35,139.01,1535.35,139.01,-84.68,57.33
1254.57,57.96,47.50,1528.78,139.93,1528.78,139.93,-83.97,56.50
1256.05,57.78,47.25,1521.76,140.92,1521.76,140.92,-83.23,55.66
1257.53,57.60,47.00,1514.67,142.21,1514.67,142.21,-82.48,54.80
1259.00,57.42,46.73,1507.27,143.63,1507.27,143.63,-81.70,53.94
1260.48,57.23,46.45,1499.72,145.28,1499.72,145.28,-80.91,53.08
1261.96,57.05,46.16,1491.83,147.02,1491.83,147.02,-80.09,52.20
1263.42,56.86,45.85,1483.97,148.89,1483.97,148.89,-79.26,51.32
1264.91,56.67,45.54,1475.60,151.07,1475.60,151.07,-78.39,50.42
1266.38,56.48,45.21,1467.24,153.22,1467.24,153.22,-77.52,49.52
1267.86,56.29,44.87,1458.48,155.62,1458.48,155.62,-76.62,48.60
1269.33,56.10,44.52,1449.62,158.21,1449.62,158.21,-75.70,47.68
1270.81,55.91,44.17,1440.66,160.88,1440.66,160.88,-74.75,46.75
1272.29,55.71,43.80,1431.39,163.68,1431.39,163.68,-73.79,45.81
1273.77,55.51,43.42,1421.98,166.70,1421.98,166.70,-72.80,44.87
1275.24,55.32,43.03,1412.49,169.80,1412.49,169.80,-71.80,43.91
1276.72,55.12,42.64,1402.75,172.99,1402.75,172.99,-70.78,42.95
1278.20,54.92,42.24,1392.94,176.42,1392.94,176.42,-69.73,41.98
1279.67,54.72,41.82,1382.87,179.91,1382.87,179.91,-68.66,41.00
1281.15,54.52,41.40,1372.70,183.47,1372.70,183.47,-67.57,40.01
1282.62,54.32,40.98,1362.51,187.18,1362.51,187.18,-66.47,39.01
1284.10,54.12,40.54,1352.06,191.05,1352.06,191.05,-65.34,38.00
1285.56,53.92,40.11,1341.71,194.93,1341.71,194.93,-64.20,37.00
1287.04,53.72,39.66,1331.01,198.99,1331.01,198.99,-63.03,35.97
1288.51,53.52,39.20,1320.29,203.02,1320.29,203.02,-61.84,34.94
1289.98,53.32,38.74,1309.52,207.28,1309.52,207.28,-60.63,33.90
1291.46,53.12,38.28,1298.46,211.61,1298.46,211.61,-59.39,32.85
1292.94,52.91,37.80,1287.47,216.07,1287.47,216.07,-58.14,31.79
1294.41,52.71,37.33,1276.38,220.55,1276.38,220.55,-56.87,30.73
1295.89,52.51,36.85,1265.25,225.14,1265.25,225.14,-55.57,29.65
1297.37,52.31,36.36,1253.88,229.71,1253.88,229.71,-54.25,28.56
1298.85,52.10,35.87,1242.59,234.49,1242.59,234.49,-52.91,27.47
1300.33,51.90,35.37,1231.15,239.28,1231.15,239.28,-51.55,26.36
1301.81,51.70,34.88,1219.66,244.08,1219.66,244.08,-50.17,25.25
1303.28,51.50,34.38,1208.25,249.03,1208.25,249.03,-48.77,24.14
1304.76,51.30,33.87,1196.69,254.01,1196.69,254.01,-47.35,23.01
1306.23,51.10,33.37,1185.14,259.00,1185.14,259.00,-45.91,21.87
1307.69,50.90,32.86,1173.59,263.97,1173.59,263.97,-44.46,20.74
1309.18,50.70,32.35,1161.96,269.18,1161.96,269.18,-42.97,19.58
1310.66,50.51,31.84,1150.39,274.38,1150.39,274.38,-41.46,18.41
1312.14,50.31,31.32,1138.66,279.52,1138.66,279.52,-39.93,17.24
1313.62,50.11,30.81,1127.08,284.73,1127.08,284.73,-38.38,16.06
1315.09,49.92,30.29,1115.43,289.96,1115.43,289.96,-36.82,14.87
1316.57,49.72,29.78,1103.96,295.22,1103.96,295.22,-35.23,13.67
1318.06,49.53,29.26,1092.22,300.53,1092.22,300.53,-33.61,12.46
1319.53,49.34,28.74,1080.65,305.88,1080.65,305.88,-31.99,11.25
1321.01,49.15,28.23,1069.17,311.17,1069.17,311.17,-30.33,10.02
1322.49,48.96,27.71,1057.64,316.54,1057.64,316.54,-28.66,8.79
1323.97,48.78,27.20,1046.16,321.91,1046.16,321.91,-26.96,7.55
1325.44,48.59,26.69,1034.74,327.21,1034.74,327.21,-25.25,6.30
1326.92,48.41,26.18,1023.47,332.55,1023.47,332.55,-23.52,5.04
1328.41,48.22,25.67,1012.07,337.90,1012.07,337.90,-21.75,3.77
1329.87,48.05,25.17,1000.89,343.17,1000.89,343.17,-19.99,2.50
1331.35,47.87,24.67,989.78,348.50,989.78,348.50,-18.20,1.22
1332.82,47.69,24.17,978.97,353.75,978.97,353.75,-16.38,-0.07
1334.30,47.52,23.68,967.89,359.06,967.89,359.06,-14.54,-1.38
1335.78,47.35,23.18,957.09,364.27,957.09,364.27,-12.68,-2.68
1337.26,47.18,22.70,946.27,369.44,946.27,369.44,-10.80,-4.01
1338.73,47.01,22.21,935.51,374.54,935.51,374.54,-8.90,-5.33
1340.21,46.84,21.73,925.08,379.73,925.08,379.73,-6.97,-6.67
1341.69,46.68,21.26,914.65,384.83,914.65,384.83,-5.03,-8.01
1343.17,46.52,20.79,904.36,389.83,904.36,389.83,-3.07,-9.37
1344.65,46.36,20.33,894.16,394.93,894.16,394.93,-1.07,-10.73
1346.13,46.21,19.87,884.02,399.89,884.02,399.89,0.94,-12.11
1347.61,46.05,19.42,874.18,404.74,874.18,404.74,2.96,-13.49
1349.07,45.91,18.98,864.53,409.51,864.53,409.51,5.00,-14.87
1350.54,45.76,18.54,855.07,414.26,855.07,414.26,7.05,-16.25
1352.01,45.62,18.11,845.74,418.90,845.74,418.90,9.13,-17.65
1353.48,45.48,17.69,836.51,423.51,836.51,423.51,11.23,-19.06
1354.96,45.34,17.28,827.50,428.05,827.50,428.05,13.36,-20.48
1356.43,45.20,16.87,818.58,432.50,818.58,432.50,15.50,-21.91
1357.90,45.07,16.48,810.00,436.80,810.00,436.80,17.66,-23.34
1359.37,44.95,16.09,801.63,441.14,801.63,441.14,19.84,-24.77
1360.85,44.82,15.71,793.32,445.22,793.32,445.22,22.06,-26.23
1362.32,44.70,15.34,785.24,449.41,785.24,449.41,24.29,-27.70
1363.80,44.58,14.98,777.38,453.34,777.38,453.34,26.55,-29.18
1365.28,44.47,14.63,769.80,457.24,769.80,457.24,28.82,-30.66
1366.75,44.36,14.28,762.36,460.99,762.36,460.99,31.12,-32.15
1368.23,44.25,13.95,755.27,464.63,755.27,464.63,33.43,-33.65
1369.71,44.15,13.63,748.23,468.29,748.23,468.29,35.78,-35.16
1371.19,44.05,13.32,741.63,471.66,741.63,471.66,38.14,-36.67
1372.66,43.95,13.03,735.23,474.97,735.23,474.97,40.51,-38.20
1374.14,43.86,12.74,729.06,478.08,729.06,478.08,42.91,-39.73
1375.61,43.78,12.47,723.19,481.18,723.19,481.18,45.32,-41.27
1377.09,43.69,12.21,717.53,484.07,717.53,484.07,47.76,-42.82
1378.56,43.61,11.96,712.25,486.92,712.25,486.92,50.22,-44.37
1380.04,43.54,11.73,707.22,489.48,707.22,489.48,52.71,-45.94
1381.52,43.47,11.51,702.48,492.00,702.48,492.00,55.22,-47.52
1382.99,43.41,11.30,697.98,494.16,697.98,494.16,57.73,-49.10
1384.46,43.34,11.11,693.90,496.46,693.90,496.46,60.28,-50.70
1385.94,43.29,10.93,690.04,498.45,690.04,498.45,62.84,-52.30
1387.41,43.24,10.77,686.44,500.24,686.44,500.24,65.42,-53.90
1388.89,43.19,10.62,683.27,501.97,683.27,501.97,68.03,-55.53
1390.37,43.15,10.48,680.46,503.48,680.46,503.48,70.66,-57.16
1391.85,43.11,10.37,677.90,504.84,677.90,504.84,73.32,-58.80
1393.32,43.08,10.26,675.60,505.91,675.60,505.91,75.99,-60.44
1394.79,43.05,10.18,673.87,506.85,673.87,506.85,78.67,-62.09
1396.27,43.03,10.11,672.32,507.73,672.32,507.73,81.38,-63.75
1397.75,43.02,10.06,671.17,508.34,671.17,508.34,84.12,-65.43
1399.22,43.01,10.02,670.46,508.68,670.46,508.68,86.87,-67.11
