--- Terminal on COM9 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Fully Homed
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward
242.45,40.52,11.93,660.94,436.78,660.94,436.78,9.80,-36.42
243.92,40.36,12.06,660.53,432.01,660.53,432.01,9.93,-36.39
245.38,40.20,12.19,660.12,427.17,660.12,427.17,10.05,-36.36
246.84,40.03,12.33,659.68,422.17,659.68,422.17,10.19,-36.32
248.31,39.86,12.48,659.21,417.01,659.21,417.01,10.33,-36.27
249.78,39.69,12.63,658.94,411.76,658.94,411.76,10.47,-36.23
251.25,39.51,12.78,658.53,406.37,658.53,406.37,10.62,-36.17
252.71,39.33,12.94,658.12,400.85,658.12,400.85,10.77,-36.11
254.18,39.15,13.10,657.71,395.19,657.71,395.19,10.93,-36.05
255.65,38.97,13.26,657.42,389.47,657.42,389.47,11.09,-35.98
257.12,38.78,13.43,657.20,383.59,657.20,383.59,11.26,-35.91
258.59,38.59,13.60,656.79,377.64,656.79,377.64,11.43,-35.83
260.07,38.39,13.78,656.52,371.62,656.52,371.62,11.60,-35.75
261.54,38.19,13.96,656.21,365.38,656.21,365.38,11.78,-35.67
263.01,38.00,14.15,656.00,359.15,656.00,359.15,11.97,-35.57
264.47,37.80,14.33,655.72,352.83,655.72,352.83,12.16,-35.48
265.94,37.59,14.52,655.59,346.29,655.59,346.29,12.35,-35.38
267.41,37.39,14.72,655.43,339.76,655.43,339.76,12.55,-35.27
268.88,37.18,14.92,655.39,333.10,655.39,333.10,12.76,-35.16
270.35,36.97,15.12,655.20,326.38,655.20,326.38,12.96,-35.04
271.81,36.76,15.33,655.11,319.49,655.11,319.49,13.18,-34.92
273.28,36.55,15.54,655.11,312.58,655.11,312.58,13.39,-34.80
274.75,36.33,15.75,655.09,305.52,655.09,305.52,13.62,-34.67
276.22,36.12,15.97,655.10,298.52,655.10,298.52,13.84,-34.53
277.68,35.90,16.19,655.15,291.29,655.15,291.29,14.07,-34.39
279.15,35.68,16.42,655.26,284.09,655.26,284.09,14.31,-34.25
280.61,35.46,16.65,655.40,276.68,655.40,276.68,14.55,-34.10
282.07,35.24,16.88,655.57,269.35,655.57,269.35,14.79,-33.94
283.54,35.02,17.11,655.89,261.83,655.89,261.83,15.04,-33.78
285.01,34.80,17.35,656.13,254.22,656.13,254.22,15.29,-33.62
286.48,34.58,17.60,656.45,246.68,656.45,246.68,15.55,-33.45
287.95,34.35,17.84,656.86,239.00,656.86,239.00,15.82,-33.28
289.41,34.13,18.09,657.28,231.30,657.28,231.30,16.08,-33.10
290.87,33.91,18.34,657.72,223.55,657.72,223.55,16.35,-32.92
292.34,33.68,18.60,658.29,215.61,658.29,215.61,16.63,-32.73
293.82,33.45,18.86,658.84,207.64,658.84,207.64,16.91,-32.53
295.29,33.23,19.12,659.45,199.64,659.45,199.64,17.20,-32.33
296.77,33.00,19.39,660.13,191.59,660.13,191.59,17.49,-32.13
298.23,32.78,19.66,660.91,183.45,660.91,183.45,17.79,-31.92
299.71,32.55,19.93,661.71,175.36,661.71,175.36,18.09,-31.71
301.17,32.33,20.21,662.50,167.15,662.50,167.15,18.39,-31.49
302.63,32.11,20.49,663.43,158.98,663.43,158.98,18.70,-31.27
304.10,31.89,20.77,664.44,150.71,664.44,150.71,19.01,-31.05
305.56,31.67,21.05,665.45,142.44,665.45,142.44,19.33,-30.81
307.03,31.44,21.34,666.52,134.07,666.52,134.07,19.66,-30.58
308.50,31.22,21.63,667.72,125.70,667.72,125.70,19.98,-30.34
309.96,31.01,21.93,668.98,117.29,668.98,117.29,20.31,-30.09
311.43,30.79,22.23,670.31,108.85,670.31,108.85,20.65,-29.84
312.90,30.57,22.53,671.65,100.29,671.65,100.29,20.99,-29.58
314.36,30.36,22.83,673.06,91.90,673.06,91.90,21.34,-29.32
315.82,30.14,23.14,674.64,83.44,674.64,83.44,21.69,-29.06
317.29,29.93,23.45,676.19,74.79,676.19,74.79,22.04,-28.79
318.77,29.72,23.76,677.91,66.26,677.91,66.26,22.40,-28.51
320.23,29.51,24.08,679.67,57.65,679.67,57.65,22.77,-28.23
321.70,29.30,24.40,681.51,49.15,681.51,49.15,23.14,-27.95
323.16,29.10,24.72,683.43,40.59,683.43,40.59,23.51,-27.66
324.63,28.90,25.04,685.40,31.84,685.40,31.84,23.89,-27.36
326.09,28.70,25.37,687.40,23.30,687.40,23.30,24.27,-27.07
