Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Compiling .pio\build\bluepill_f103c8\src\main.cpp.o
Linking .pio\build\bluepill_f103c8\firmware.elf
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   8.0% (used 1632 bytes from 20480 bytes)
Flash: [====      ]  38.3% (used 25100 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),Left_Error(deg),Right_Error(deg),Left_PWM,Right_PWM
108.33,0.00,0.00,-20.57,41.37,5.00,-5.00
109.05,0.00,0.00,-15.47,40.80,5.00,-5.00
110.20,0.00,0.00,-16.52,34.30,-5.00,5.00
111.09,0.00,0.00,-11.80,33.62,-5.00,5.00
111.81,0.00,0.00,-12.41,33.13,-5.00,5.00
113.00,0.00,0.00,-19.09,32.30,-5.00,5.00
113.85,0.00,0.00,-14.08,26.15,-5.00,5.00
114.60,0.00,0.00,-14.70,25.66,-5.00,5.00
115.51,0.00,0.00,-15.40,30.81,-5.00,5.00
116.72,0.00,0.00,-21.82,30.32,-5.00,5.00
117.45,0.00,0.00,-16.63,30.06,-5.00,5.00
118.20,0.00,0.00,-22.54,24.21,-5.00,5.00
119.49,0.00,0.00,-23.16,29.44,-5.00,5.00
120.21,0.00,0.00,-29.09,29.22,-5.00,5.00
121.12,0.00,0.00,-23.82,29.05,-5.00,5.00
122.29,0.00,0.00,-23.99,29.00,-5.00,5.00
123.01,0.00,0.00,-24.21,28.87,-5.00,5.00
123.93,0.00,0.00,-24.39,23.20,-5.00,5.00
125.06,0.00,0.00,-24.43,23.25,-5.00,5.00
125.84,0.00,0.00,-30.15,28.92,-5.00,5.00
126.67,0.00,0.00,-30.06,23.29,-5.00,5.00
127.94,0.00,0.00,-24.43,29.14,-5.00,5.00
128.66,0.00,0.00,-29.93,23.60,-5.00,5.00
129.46,0.00,0.00,-24.21,29.31,-5.00,5.00
130.26,0.00,0.00,-24.13,23.86,-5.00,5.00
131.44,0.00,0.00,-23.91,29.66,-5.00,5.00
132.34,0.00,0.00,-29.40,29.84,-5.00,5.00
133.05,0.00,0.00,-29.27,29.88,-5.00,5.00
134.26,0.00,0.00,-29.00,30.19,-5.00,5.00
135.09,0.00,0.00,-23.20,30.28,-5.00,5.00
135.84,0.00,0.00,-22.85,24.92,-5.00,5.00
137.03,0.00,0.00,-22.59,25.18,-5.00,5.00
137.99,0.00,0.00,-16.72,25.44,-5.00,5.00
138.71,0.00,0.00,-22.08,31.16,-5.00,5.00
139.88,0.00,0.00,-21.69,25.88,-5.00,5.00
140.72,0.00,0.00,-15.80,31.64,-5.00,5.00
141.45,0.00,0.00,-15.53,31.95,-5.00,5.00
142.37,0.00,0.00,-20.72,26.50,-5.00,5.00
143.52,0.00,0.00,-20.37,32.56,-5.00,5.00
144.27,0.00,0.00,-19.97,27.03,-5.00,5.00
145.17,0.00,0.00,-19.62,27.33,-5.00,5.00
146.39,0.00,0.00,-13.51,33.35,-5.00,5.00
147.11,0.00,0.00,-13.12,33.53,-5.00,5.00
147.85,0.00,0.00,-18.44,39.40,-5.00,5.00
149.16,0.00,0.00,-12.24,34.21,-5.00,5.00
149.88,0.00,0.00,-11.84,40.06,-5.00,5.00
150.77,0.00,0.00,-11.45,40.36,-5.00,5.00
152.00,0.00,0.00,-16.44,35.13,-5.00,5.00
152.72,0.00,0.00,-16.04,35.49,-5.00,5.00
153.51,0.00,0.00,-21.36,35.66,-5.00,5.00
154.72,0.00,0.00,-15.07,36.19,-5.00,5.00
155.51,0.00,0.00,-14.72,42.17,-5.00,5.00
156.34,0.00,0.00,-19.82,36.85,-5.00,5.00
157.60,0.00,0.00,-13.62,42.96,-5.00,5.00
158.32,0.00,0.00,-18.76,37.73,-5.00,5.00
159.13,0.00,0.00,-18.37,43.70,-5.00,5.00
159.92,0.00,0.00,-17.80,38.39,-5.00,5.00
161.11,0.00,0.00,-11.56,38.96,-5.00,5.00
162.00,0.00,0.00,-11.10,39.51,-5.00,5.00
162.72,0.00,0.00,-4.99,34.28,-5.00,5.00
163.92,0.00,0.00,-9.87,40.52,-5.00,5.00
164.73,0.00,0.00,-9.34,35.29,-5.00,5.00
165.50,0.00,0.00,-8.81,35.68,-5.00,5.00
166.69,0.00,0.00,-2.53,41.97,-5.00,5.00
167.52,0.00,0.00,-1.91,42.50,-5.00,5.00
168.26,0.00,0.00,-1.43,37.22,-5.00,5.00
169.10,0.00,0.00,-6.57,43.33,-5.00,5.00
170.34,0.00,0.00,-0.07,38.36,-5.00,5.00
171.06,0.00,0.00,-10.81,38.80,-5.00,5.00
171.88,0.00,0.00,-4.70,44.91,-5.00,5.00
173.14,0.00,0.00,-3.78,45.59,-5.00,5.00
173.86,0.00,0.00,-8.83,46.03,-5.00,5.00
174.63,0.00,0.00,-8.39,52.10,-5.00,5.00
175.45,0.00,0.00,-7.73,52.62,-5.00,5.00
176.63,0.00,0.00,-1.41,47.75,-5.00,5.00
177.41,0.00,0.00,-0.79,53.81,-5.00,5.00
178.21,0.00,0.00,-5.84,54.29,-5.00,5.00
179.40,0.00,0.00,6.31,49.42,-5.00,5.00
180.20,0.00,0.00,1.25,50.03,-5.00,5.00
180.95,0.00,0.00,1.78,50.38,-5.00,5.00
181.83,0.00,0.00,2.48,51.02,-5.00,5.00
183.00,0.00,0.00,3.32,51.77,-5.00,5.00
183.72,0.00,0.00,9.51,52.21,-5.00,5.00
184.53,0.00,0.00,4.46,47.02,-5.00,5.00
185.27,0.00,0.00,10.61,53.17,-5.00,5.00
186.46,0.00,0.00,5.98,48.34,-5.00,5.00
187.29,0.00,0.00,6.64,54.49,-5.00,5.00
188.02,0.00,0.00,7.16,49.35,-5.00,5.00
188.90,0.00,0.00,2.24,55.50,-5.00,5.00
190.07,0.00,0.00,8.79,61.94,-5.00,5.00
190.79,0.00,0.00,3.69,62.38,-5.00,5.00
191.60,0.00,0.00,4.35,62.91,-5.00,5.00
192.34,0.00,0.00,4.92,57.81,-5.00,5.00
193.24,0.00,0.00,16.98,58.38,-5.00,5.00
194.36,0.00,0.00,17.73,59.08,-5.00,5.00
195.11,0.00,0.00,18.39,65.19,-5.00,5.00
195.94,0.00,0.00,13.43,60.10,-5.00,5.00
197.18,0.00,0.00,20.06,66.60,-5.00,5.00
197.90,0.00,0.00,15.10,67.08,-5.00,5.00
198.72,0.00,0.00,21.34,56.43,-5.00,5.00
199.98,0.00,0.00,16.77,62.97,-5.00,5.00
200.69,0.00,0.00,17.45,63.41,-5.00,5.00
201.46,0.00,0.00,18.11,64.03,-5.00,5.00
202.25,0.00,0.00,18.81,58.93,-5.00,5.00
203.43,0.00,0.00,14.15,59.77,-5.00,5.00
204.35,0.00,0.00,14.90,66.09,-5.00,5.00
205.07,0.00,0.00,21.27,66.62,-5.00,5.00
206.25,0.00,0.00,16.57,61.79,-5.00,5.00
207.02,0.00,0.00,22.83,73.59,-5.00,5.00
207.82,0.00,0.00,23.53,68.62,-5.00,5.00
208.59,0.00,0.00,24.28,74.77,-5.00,5.00
209.84,0.00,0.00,30.96,75.65,-5.00,5.00
210.58,0.00,0.00,25.99,76.14,-5.00,5.00
211.44,0.00,0.00,32.50,71.17,-5.00,5.00
212.16,0.00,0.00,33.02,77.28,-5.00,5.00
213.34,0.00,0.00,22.94,78.20,-5.00,5.00
214.26,0.00,0.00,29.40,67.54,-5.00,5.00
214.97,0.00,0.00,29.93,73.78,-5.00,5.00
216.16,0.00,0.00,25.44,69.13,-5.00,5.00
216.96,0.00,0.00,26.06,75.19,-5.00,5.00
217.73,0.00,0.00,26.85,70.18,-5.00,5.00
218.60,0.00,0.00,33.18,70.84,-5.00,5.00
219.83,0.00,0.00,34.26,77.30,-5.00,5.00
220.54,0.00,0.00,34.96,72.20,0.00,0.00
221.24,0.00,0.00,41.11,78.31,0.00,0.00
222.14,0.00,0.00,41.99,78.95,0.00,0.00
223.27,0.00,0.00,37.33,79.74,0.00,0.00
224.06,0.00,0.00,37.95,85.89,0.00,0.00
224.82,0.00,0.00,38.61,80.75,0.00,0.00
225.64,0.00,0.00,44.89,86.95,0.00,0.00
226.90,0.00,0.00,34.58,87.69,0.00,0.00
