BEGIN CSV
BEGIN CSV
HOME STATE
t, x_cmd, y_cmd, theta, v
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00DEFEND STATE
t, x_cmd, y_cmd, theta, v
0.33,1.55,0.20,-0.80,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,-0.02,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.26,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.57,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,-1.52,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,-1.57,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.55,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,-1.54,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,-1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,-1.55,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.57,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,-1.55,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.57,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,-1.55,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00DEFEND STATE
t, x_cmd, y_cmd, theta, v
0.33,1.38,0.20,-0.84,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,1.56,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
